"dataset","No_of_Cities","tour_length","TC_mean","TC_vc","TC_skew","LMTL_mean","LMTL_vc","LMTL_skew","IPS_mean","IPS_vc","IPS_skew","STLM_mean","STLM_vc","STLM_skew","DBLM_mean","DBLM_vc","DBLM_skew","POELM_mean","POELM_vc","POELM_skew","IPC_mean","IPC_vc","IPC_skew","Ratio_UBLB","Pct_int","Pct_nonint","Min_nonint","Max_nonint","q25_nonint","q50_nonint","q75_nonint"
"swiss42.tsp",42,2834,1273,0,NA,1273,0,NA,12,0,NA,0.7,93.84952648,0.3385952458,0.9761904762,0,NA,0.02380952381,0,NA,"-0.0208333125",-23960.70603,1.510007659,1.018807523,1,0,-Inf,Inf,NA,NA,NA
"ts225.tsp",225,276532.4119,126713,0,NA,126713,0,NA,37.28571429,0,NA,60.75,37.52856522,-0.4788869529,0.9955555556,0,NA,0.004444444444,0,NA,"0.1297808537",69907.03144,5.308571079,1.077444448,0.7374517375,0.2625482625,0.5,0.5,0.5,0.5,0.5
"tsp225.tsp",225,44158.52174,3916,0,NA,3916,0,NA,3.307430341,0.4997631786,-0.186122041,47.35,61.12239986,0.3854323235,0.9955555556,0,NA,0.004444444444,0,NA,"NaN",NA,NA,1.027551824,0.3963414634,0.6036585366,0.999974,0.000142,0.00201075,0.2988355,0.996389
"u1060.tsp",1060,260168.42,225388,0.002323456844,0.028497761,225388,0.002323456844,0.028497761,29.29598568,0.07971611007,-2.467217162,89.3,13.91132623,-1.274211265,0.9990566038,0,NA,0.0009433962264,0,NA,"1.498544076",2542.302231,6.003892362,1.025507393,0.6266159696,0.3733840304,0.996716,0.003284,0.136015,0.44335,0.857143
"u1432.tsp",1432,183241.1695,154165.8,0.0009520036835,0.3780156522,154165.8,0.0009520036835,0.3780156522,19.29180645,0.07697634522,0.3780156522,91.4,9.626176367,-1.104288343,0.999301676,0,NA,0.0006983240223,0,NA,"0.3042310994",1538.207541,3.883490694,1.010532678,0.6739386792,0.3260613208,0.999985,0.00019,0.100617,0.500864,0.914909
"u159.tsp",159,43375.70689,42080,0,NA,42080,0,NA,67.8452381,0.007741194796,-3.86e-14,20.05,67.56654043,0.2143010029,0.9937106918,0,NA,0.006289308176,0,NA,"-4.644273011",-357.865493,-1.005701146,1.009197415,1,0,-Inf,Inf,NA,NA,NA
"u1817.tsp",1817,71899.8241,58036,0.00130819488,1.388918194,58036,0.00130819488,1.388918194,11.30983302,0.03500713537,1.388918194,94.25,6.0499003,-0.8842458307,0.9994496423,0,NA,0.0005503577325,0,NA,"0.08712918645",9401.249626,3.344016444,1.022823478,0.5164068909,0.4835931091,0.999995,0.000102,0.102513,0.360028,0.8655825
"u2152.tsp",2152,82205.98966,65303.2,0.0006565542574,-0.186122041,65303.2,0.0006565542574,-0.186122041,11.4015625,0.1301051228,0.186122041,93.65,5.358942264,-0.4302338516,0.999535316,0,NA,0.0004646840149,0,NA,"0.3723958958",1836.652281,3.830693833,1.020570811,0.5528017241,0.4471982759,0.999928,0.000216,0.185749,0.471951,0.80697
"u2319.tsp",2319,281906.4084,234990.5,0.0005295119617,0.4024628987,234990.5,0.0005295119617,0.4024628987,8.165485952,0.4464912745,-0.6015155551,75.6,21.35202627,-0.6301488824,0.9995687796,0,NA,0.0004312203536,0,NA,"u2319.tsp",2319,281906.4084,234990.5,0.0005295119617,0.4024628987,234990.5,0.0005295119617,0.4024628987,8.165485952,0.4464912745
"u574.tsp",574,40219.36734,37056.9,0.0008038598232,-3.253843733,37056.9,0.0008038598232,-3.253843733,6.180679731,0.3247453799,0.8603051939,88.8,13.03892408,-1.008836842,0.9982578397,0,NA,0.001742160279,0,NA,"-0.05963636848",-13069.81706,4.302124671,1.025205337,1,0,-Inf,Inf,NA,NA,NA
"u724.tsp",724,157457.6891,42070,0.0008779467715,1.388918194,42070,0.0008779467715,1.388918194,6.947309942,0.01867158139,-1.388918194,87.6,14.01246683,-1.262697189,0.9986187845,0,NA,0.00138121547,0,NA,"0.08934791593",4550.948547,7.279288016,1.011903489,0.5685005394,0.4314994606,0.996584,0.003416,0.064902,0.390265,0.935098
"usa13509.tsp",13509,1590833038,20321656.6,0.003563968657,1.211502927,20321656.6,0.003563968657,1.211502927,1837.772714,0.2931589617,-0.6928505438,98.65,1.326788218,-1.114140107,0.9999259753,0,NA,7.4e-05,0,NA,"usa13509.tsp",13509,1590833038,20321656.6,0.003563968657,1.211502927,20321656.6,0.003563968657,1.211502927,1837.772714,0.2931589617
"vm1084.tsp",1084,5350742.143,240374.3,0.001747692042,0.790230874,240374.3,0.001747692042,0.790230874,51.21286022,0.3653414466,0.8020483313,87,12.77226588,-0.6264469091,0.9990774908,0,NA,0.0009225092251,0,NA,"22.59982455",889.0959497,7.030387824,1.023796846,0.6246312684,0.3753687316,0.997807,0.002193,0.080365,0.46765,0.771643
"vm1748.tsp",1748,10005377.66,338283,0.0007246586508,-1.163172263,338283,0.0007246586508,-1.163172263,33.22319138,0.2473616877,2.357494415,97,3.914954749,-1.972097183,0.9994279176,0,NA,0.0005720823799,0,NA,"-0.26435244",-10624.19345,2.955768518,1.022614542,0.5041736227,0.4958263773,0.999993,0.000104,0.0063995,0.303299,0.9837055
"pr1002.tsp",1002,349438.2368,260636.25,0.001287333611,-1.582079835,260636.25,0.001287333611,-1.582079835,46.60138636,0.008636808708,1.319172229,95.65,5.759127765,-2.57205956,0.999001996,0,NA,0.000998003992,0,NA,"4.48486252",1305.013953,7.080054431,1.019958991,1,0,-Inf,Inf,NA,NA,NA
"pr107.tsp",107,62756.95709,44303,0,NA,44303,0,NA,58.7625,1.03848321,1.108114576,19.35,92.07054024,0.6660199524,0.9906542056,0,NA,0.009345794393,0,NA,"-267.6720053",-382.9280172,-3.161109283,1.456603118,1,0,-Inf,Inf,NA,NA,NA
"pr124.tsp",124,98943.48736,59036.9,0.0002854483761,1.815216187,59036.9,0.0002854483761,1.815216187,142.6035294,0.4007025483,-1.815216187,46.6,47.08383991,-0.05466690241,0.9919354839,0,NA,0.008064516129,0,NA,"-13.19031366",-2334.910919,1.414474096,1.095267694,1,0,-Inf,Inf,NA,NA,NA
